orig_index,new_index,event_name
3,0,Core__BRANCH
4,1,Core__JAL
5,2,Core__JALR
6,3,Core__AUIPC
7,4,Core__LOAD
8,5,Core__STORE
12,6,Core__SERIAL_SHIFT
16,7,Core__LOAD_WAIT
17,8,Core__STORE_WAIT
19,9,Core__F_BUSY_NO_CONSUME
21,10,Core__1_BUSY_NO_CONSUME
22,11,Core__2_BUSY_NO_CONSUME
32,12,L1I__LD
33,13,L1I__LD_MISS
34,14,L1I__LD_MISS_LAT
41,15,L1I__TLB
48,16,L1D__LD
49,17,L1D__LD_MISS
50,18,L1D__LD_MISS_LAT
51,19,L1D__ST
57,20,L1D__TLB
66,21,TGC__READ
67,22,TGC__READ_MISS
71,23,AXI4_Slave__AW_FLIT
72,24,AXI4_Slave__W_FLIT
73,25,AXI4_Slave__W_FLIT_FINAL
74,26,AXI4_Slave__B_FLIT
75,27,AXI4_Slave__AR_FLIT
76,28,AXI4_Slave__R_FLIT
77,29,AXI4_Slave__R_FLIT_FINAL
78,30,AXI4_Master__AW_FLIT
79,31,AXI4_Master__W_FLIT
80,32,AXI4_Master__W_FLIT_FINAL
81,33,AXI4_Master__B_FLIT
82,34,AXI4_Master__AR_FLIT
83,35,AXI4_Master__R_FLIT
84,36,AXI4_Master__R_FLIT_FINAL
